ID|DIGITALASSET_COLLECTIONNAME|ARTWORKORILLUSTRATION_ARTISTNATIONALITY|ARTWORKORILLUSTRATION_MATERIALSTECHNIQUES|DIGITALASSET_ASSETTYPE|self.mediaRef|self.mimeType|self.formattedFileSize|FILEINFORMATION_EXIF_MAKE|FILEINFORMATION_EXIF_MODEL|self.pixelDimensions|self.dimensionsInInches|self.dimensionsInCMs|MEDIA_COLOR_SPACE_NAME|SUBJECT_TITLE|SUBJECT_DESCRIPTION|SUBJECT_DIGITALASSETSUBJECT|BOOKORPUBLICATION_GRAPHICSTYPEFACE|PLANT_PLANTPART|PLANT_COMMONNAMES|ACCEPTEDPLANTNAME_FAMILY|ACCEPTEDPLANTNAME_GENUS|ACCEPTEDPLANTNAME_SPECIES|ACCEPTEDPLANTNAME_AUTHOR|self.pkStr|DISCOVERYASSISTANCE_KEYWORDS|DISCOVERYASSISTANCE_SEASON|STILLIMAGEINFORMATION_EXPOSURE|STILLIMAGEINFORMATION_ISOSPEEDRATING|DACREATIONDATA_CREATORNAME|SUBJECT_ADDITIONALINFO|STILLIMAGEADDITIONALINFORMATION_STILLIMAGETYPE|DACOPYRIGHTINFO_DACOPYRIGHTHOLDER|MEDIA_DATECREATED|PLANT_IPNIIDENTIFIER|DIGITALASSET_DAORIENTATION|ADMIN_APPROVALSTATUS|ARTWORKORILLUSTRATION_MARKSINSCRIPTIONSORHANDWRITTENNOTES|BOOKORPUBLICATION_MARKSINSCRIPTIONSORHANDWRITTENNOTES|ARTWORKORILLUSTRATION_ARTWORKTYPE|DACOPYRIGHTINFO_SPECIFICCOPYRIGHTAGREEMENT|DACREATIONDATA_SUBLOCATION|STILLIMAGEINFORMATION_F_NUMBER|PHYSICALDIGITISEDOBJECTNOTES_FREE|PLANTFUNGUSALGAE_NAME_VERIFIED|PLANTFUNGUSALGAE_OTHER_NAMES|PLANTFUNGUSALGAE_ORG_TYPE|SUBJECTLOCATIONSUBJECTORIGINLOCATIONSHOWN_SUBJECTCOUNTRY|SUBJECTLOCATIONSUBJECTORIGINLOCATIONSHOWN_COUNTSUBLOC|CONTENT_START_DAY|CONTENT_START_MONTH|CONTENT_START_YEAR|CONTENT_END_YEAR|WORKFLOW_ASSET_REPLICATION_STATE|ASSETGOVERNANCE_GROUPTAG|CREATORCOPYRIGHTPERMISSIONS_POC|self.filePath
520|Art & Illustrations||Watercolour with graphite under-drawing. |Still Image|02-006318PB20110915.tif|image/tiff|81 MB|Epson|Exp10000XL10000|4533 x 5923 px|"10.07"" x 13.16"""|25.59cm x 33.43cm|sRGB|Rhododendron argenteum, Hooker|Field sketch of Rhododendron argenteum with watercolour by Joseph Hooker. |Organism,Illustration or Artefact||Leaves,Flower||Ericaceae |Rhododendron|grande||520|Hooker, Joseph Hooker, art, biological, biology, botanical, botanical illustration, botany, plant, flowers, foliage, identifier, illustration, identity, leaf, leaves, nature, plant, sketch, species, structure, study, vascular plant, vegetation, Rhododendron argenteum, Rhododendron grande||||KEW - Publishing|Hooker's field sketches were later used as the basis for Fitch's lithographs originally published in The Rhododendrons of Sikkim- Himalaya, 1849. |Digitisation (imaged ) object|Yes © RBG Kew|2011-09-15 16:48:46|332518-1|Portrait|Released, Approved|R. argenteum ||Watercolour|false|||Yes|No / Unknown|"Previous name: Ericaceae; Rhododendron; argenteum. 
"|Plant|||||1847|1851|green||Hooker, Joseph Dalton ( 1817-1911)|2015/11/10/10/_520.tif
521|Art & Illustrations|UK|Watercolour on paper with graphite under-drawing. |Still Image|03-006318PB20110915.tif|image/tiff|95 MB|Epson|Exp10000XL10000|5083 x 6307 px|"11.3"" x 14.02"""|28.69cm x 35.6cm|sRGB|Rhododendron falconeri, Joseph Hooker|Pencil sketch and watercolour of Rhododendron falconeri by Joseph Hooker. Sketch formed the basis for W. H. Fitch's lithographs originally published in The Rhododendrons of Sikkim-Himalaya, 1849. |Organism,Illustration or Artefact||Flower,Leaves,Stem|||Rhododendron|falconeri||521|Hooker, Joseph Hooker, art, biological, biology, botanical, botanical illustration, botany, plant, flowers, foliage, identifier, illustration, identity, leaf, leaves, nature, plant, plant organ, sketch, species, structure, study, vascular plant, vegetation, brown, green, rhododendron falconeri, Sikkim-Himalaya, plant collector||||KEW - Publishing|Hooker encountered Rhododendron falconeri during his ascent of Mount Tonglo. Hooker wrote: R. falconeri, in point of foliage the most superb of all the Himalayan species, with trunks thirty feet high, and branches bearing at their ends only leaves eighteen inches long: these are deep green above and covered beneath with a rich brown down.' Artist from England. |Digitisation (imaged ) object|Yes © RBG Kew|2011-09-15 17:01:29|332411-1|Portrait|Released, Approved|"R. falconeri
Hook. F[?]"||Watercolour|false|||Yes|No / Unknown||Plant|||||1847|1849|green||Hooker, Joseph Dalton ( 1817-1911)|2015/11/10/10/_521.tif
522|Art & Illustrations|UK|Pencil sketch, painted with watercolour on paper.|Still Image|04-006318PB20110915.tif|image/tiff|40 MB|Epson|Exp10000XL10000|3100 x 4072 px|"10.33"" x 13.57"""|26.25cm x 34.48cm|sRGB|Rhododendron setosum, Joseph Hooker|Field sketch of Rhododendron setosum by Joseph Hooker.|Organism,Illustration or Artefact||Flower,Leaves,Stem|||Rhododendron|setosum||522|Fitch, Himalaya, Hooker, Joseph Hooker, Rhododendron setosum, Sikkim, W. H. Fitch, art, biological, biology, botanical, botanical illustration, botany, flower, flowering plant, flowers, foliage, identifier, illustration, identity, leaf, leaves, magenta, nature, pink, plant, plant organ, sketch, species, structure, study, vascular plant, vegetation||||KEW - Publishing|The field sketches Joseph Hooker created formed the basis for Fitch's lithographs which were originally published in J. D. Hooker, The Rhododendrons of Sikkim-Himalaya, 1849. Hooker found Rhododendron setosum growing at altitudes above 13,000 feet, and noted: 'after hot sunshine, [it] fills the atmosphere with its powerful aroma, too heavy by far to be agreeable; and it is indeed a sad aggravation to the discomforts of toiling in the rarified medium it inhabits. Covering, as it does, extensive moorland tracts and rocky slopes, the brilliant red purple of its flowers renders it a charming and most lovely object.' Artist from England. |Digitisation (imaged ) object|Yes © RBG Kew|2011-09-15 17:17:12|333339-1|Portrait|Released, Approved|"R. setosum, 
12-13000 ft. 
June 2, 49."||Watercolour|false|||Yes|No / Unknown||Plant|||2|6|1849||green||Hooker, Joseph Dalton ( 1817-1911)|2015/11/10/10/_522.tif
523|Art & Illustrations||Watercolour on paper, with graphite under-drawing. |Still Image|04-006318PB20110930T163827.tif|image/tiff|160 MB|Leaf|Leaf Aptus-II 10(LI300096   )/Schneider Lens Control|9334 x 6000 px|"31.11"" x 20"""|79.03cm x 50.8cm|sRGB|Donkia Pass, Himalayan notebooks|Sketch of Donkia Pass by Hooker (below) taken from Hooker's Himalayan notebooks, sheet 76, (above) watercolour of the same image by Walter Hood Fitch.|Illustration or Artefact||||||||523|Hooker, Joseph Hooker, art, sketch, botanical, botany, plant, flowers, foliage, identifier, illustration, nature, plant, sketch, species, mountain range, mountain, landscape, Himalaya, Walter Hood Fitch, W. H. Fitch, watercolour, graphite||0.3333333333|80|Andrew McRobb|When Joseph Hooker reached the Donkia Pass and saw the lake around the Cholamoo lakes, he wrote 'though my solitary situation rendered it doubly impressive to me, I doubt whether the world contains any scene with more sublime associations than this calm sheet of water, 17,000 feet above the sea, with the shadows of mountains 22, 000 to 24, 000 feet high, sleeping on its bosom.' |Digitisation (imaged ) object|Yes © RBG Kew|||Landscape|Released, Approved|||Watercolour|false||8.9|Yes||||||||1847|1851|green||Hooker, Joseph Dalton ( 1817-1911)|2015/11/10/10/_523.tif
525|Art & Illustrations|UK|Lithograph; watercolour, graphite sketch, ink sketch. |Still Image|05-005200LA100309001.jpg|image/jpeg|4 MB|Sinar AG|Sinarback 54 FW, Sinarcam 2 (Stand Alone)|4080 x 5440 px|"17"" x 22.67"""|43.18cm x 57.57cm|sRGB|Images from Joseph Hooker's Himalayan Sketchbook, Hooker and Fitch|Upper left, view of  Kangchenjunga from Singtam, Sikkim, lithograph by W. H. Fitch, 1850s; upper right view of  Kangchenjunga from Singtam, Sikkim, drawing by J. D. Hooker, 1850s. The rest of the sheet are sketches from J. D. Hooker's Himalayan sketchbooks. |Organism,Book or Publication,Illustration or Artefact|false|Whole plant|Black juniper|Cupressaceae|Juniperus|||525|Fitch, Walter Hood Fitch, Hooker, Kangchenjunga, Sikkim, Nepal, illustration, Juniper tree, black juniper, lithograph, ink, sketch, graphite, Joseph Dalton Hooker, Walter Hood Fitch, Himalaya, Khasia mountains, landscape, mountain range, journals, blue, green, clouds||0.5|25|Andrew McRobb|Additional images feature the black Juniper tree. Artist from England. |Digitisation (imaged ) object|Yes © RBG Kew|2010-03-09 15:43:30|60436243-2|Portrait|Released, Approved|||Drawing|false||4|Yes|No / Unknown||Plant|||||1847|1851|green||Hooker, Joseph Dalton ( 1817-1911)|2015/11/10/10/_525.jpg
526|Art & Illustrations|UK|Ink and graphite on paper. |Still Image|05-006318PB20110930T165223.tif|image/tiff|160 MB|Leaf|Leaf Aptus-II 10(LI300096   )/Schneider Lens Control|9334 x 6000 px|"31.11"" x 20"""|79.03cm x 50.8cm|sRGB|Sketches of mountain ranges in the Himalayas, Joseph Hooker|Ink and pencil sketches of Mountain Ranges taken from Hooker's Himalayan sketch books; annotated with measurements. Includes one black & white print. |Illustration or Artefact||||||||526|Hooker, Joseph Hooker, art, Himalaya, Nepal, plant, foliage, identifier, illustration, identity, nature, sketch, sketches, notebooks, study, vegetation, mountain range, landscape, black and white, black & white, measurements, mountains, ink, graphite, altitude, height||0.3333333333|80|Andrew McRobb|Joseph took careful measurements of many of the mountains he ascended: 'I have introduced angular heights, and been precise in my details, because the vagueness with which all terms are usually applied to the apparent altitude and steepness of mountains and precipices, is apt to give false impressions.' Artist from England. |Digitisation (imaged ) object|Yes © RBG Kew|||Landscape|Released, Approved|||Pen & Ink|false||8.9|Yes||||||||1847|1851|green||Hooker, Joseph Dalton ( 1817-1911)|2015/11/10/10/_526.tif
527|Art & Illustrations||Graphite on paper and watercolour on paper with graphite under-drawing. |Still Image|05-006318PB20110930T170058.tif|image/tiff|160 MB|Leaf|Leaf Aptus-II 10(LI300096   )/Schneider Lens Control|9334 x 6000 px|"31.11"" x 20"""|79.03cm x 50.8cm|sRGB|Choonjerma Pass, view of Everest|Pencil sketch by Hooker and watercolour by Fitch of Choonjerma Pass, Nepal.|Book or Publication,Illustration or Artefact|false|||||||527|Hooker, Joseph Hooker, Walter Hood Fitch, art, identifier, illustration, identity, nature, sketch, structure, study, mountain, clouds, mist, mountain range, brown, blue, white, watercolour, graphite, pencil, Himalaya, Nepal, Mount Everest, Choonjerma Pass, Himalayan notebooks, peak||0.3333333333|80|Andrew McRobb|Joseph Hooker sketched the view from the Choonjerma Pass (below) in Nepal and it was later reproduced in watercolour by Walter Hood Fitch (above) for the published Himalayan Journals. The peak marked 'very high snows NNW' is believed to be Everest (or Mount Chomolungma as it is known locally), and this drawing, which dates from 1848, may be the earliest western illustration of the world's highest mountain. |Digitisation (imaged ) object|Yes © RBG Kew|||Landscape|Released, Approved|"Sea of mist from 16000 ft. from Choonjerma Pass
Very high snows NNW
From top of Choonjerma Pass 5,000 ft. looking West over Nepal snows"||Pencil|false||8.9|Yes||||||||1848||green||Hooker, Joseph Dalton ( 1817-1911)|2015/11/10/10/_527.tif
537|Art & Illustrations|UK|Watercolour on paper with graphite under-drawing. |Still Image|16-006318PB20110913.tif|image/tiff|160 MB|Leaf|Leaf Aptus-II 10(LI300096   )/Schneider Lens Control|6000 x 9334 px|"20"" x 31.11"""|50.8cm x 79.03cm|sRGB|Male flower of Hodgsonia macrocarpa , J. D. Hooker|Water colour of the male flower of Hodgsonia macrocarpa by Joseph Hooker. |Organism,Illustration or Artefact||Flower,10412,Leaves|||Hodgsonia |macrocarpa||537|Hodgsonia macrocarpa, flower, male, Hooker, Joseph Hooker, art, biological, biology, botanical, botanical illustration, botany, plant, flowers, foliage, identifier, illustration, identity, leaf, leaves, nature, plant, plant organ, sketch, species, structure, study, vascular plant, vegetation, cross section, green, yellow, white, watercolour, brown||0.3333333333|80|KEW - Publishing|Hooker dedicated the genus of this plant to the naturalist B. H. Hodgson. Artist from England. |Digitisation (imaged ) object|Yes © RBG Kew||292940-1|Portrait|Released, Approved|Hodgsonia heteroclita||Watercolour|false||8.9|Yes|No / Unknown|Hodgsonia heteroclita|Plant|||||1847|1851|green||Hooker, Joseph Dalton ( 1817-1911)|2015/11/10/10/_537.tif
539|Art & Illustrations|UK|Pencil sketch, watercolour on paper. |Still Image|18a-006318PB20110913.tif|image/tiff|121 MB|Epson|Exp10000XL10000|5475 x 7465 px|"12.17"" x 16.59"""|30.9cm x 42.14cm|sRGB|Hodgsonia macrocarpa, Joseph Hooker|Field sketch of Hodgsonia macrocarpa by J. Hooker. |Organism,Illustration or Artefact||Flower,10412,Stem,Leaves|||Hodgsonia |macrocarpa||539|Hodgsonia macrocarpa, Himalaya, Hooker, Joseph Hooker, Sikkim, art, biological, biology, botanical, botanical illustration, botany, flower, flowering plant, flowers, foliage, identifier, illustration, identity, leaf, leaves, orange, yellow, nature, plant, plant organ, sketch, species, structure, study, vegetation, water colour, cross section, climber||||KEW - Publishing|Joseph Hooker described Hodgsonia macrocarpa in his Himalayan journal: 'But the most magnificent plant of these jungles is Hodgsonia, (a genus I have dedicated to my friend, Mr Hodgson), a gigantic climber allied to the gourd, bearing immense yellowish-white pendulous blossoms, whose petals have a frings of buff-coloured curling threads, several inches long.' Artist from England. |Digitisation (imaged ) object|Yes © RBG Kew|2011-09-13 15:07:16|292940-1|Portrait|Released, Approved|Hodgsonia||Watercolour|false|||Yes|No / Unknown||Plant|||||1847|1851|green||Hooker, Joseph Dalton ( 1817-1911)|2015/11/10/10/_539.tif
541|Art & Illustrations|UK|Watercolour on paper with graphite under-drawing. |Still Image|19a-006318PB20110913.tif|image/tiff|121 MB|Epson|Exp10000XL10000|7465 x 5475 px|"16.59"" x 12.17"""|42.14cm x 30.9cm|sRGB|Sketch of the fruit of Hodgsonia macrocarpa, Hooker|Watercolour of Hodgsonia macrocarpa fruit, J. D. Hooker.|Illustration or Artefact||||||||541|Hodgsonia macrocarpa, fruit, Hooker, Joseph Hooker, W. H. Fitch, Walter Hood Fitch, art, biological, biology, botanical, botanical illustration, botany, plant, plant collector, flowers, identifier, illustration, identity, nature, plant, plant organ, sketch, species, structure, study, vascular plant, vegetation, watercolour, climber, brown, green||||KEW - Publishing|Artist from England. |Digitisation (imaged ) object|Yes © RBG Kew|2011-09-13 13:55:12||Landscape|Released, Approved|||Watercolour|false|||Yes||||||||1847|1851|green||Hooker, Joseph Dalton ( 1817-1911)|2015/11/10/10/_541.tif
